target_gene,rank,integrated_score,direction,peak_condition,context_specificity,causal_component,genetics_component,drug_component,novelty_component,peak_signed_score,peak_emp_z,peak_emp_fdr,peak_kd,genetics_tier,genetics_autoimmune,lof_constrained,lof_bin,ot_top_disease,ot_top_score,ot_autoimmune_disease,ot_autoimmune_score,primary_class,suggested_modality,tractability_tier,is_druggable,novelty_class,n_drugs,drug_stages,max_drug_stage,novel_priority,in_paper_noms,evidence_n,ensembl_id
GDI1,1402,0.21368122724908997,driver_antagonize,Stim8hr,0.5534173,0.3255330213208528,0.0,0.15,0.5,-0.47310495,-3.1612537,0.020193702479027856,-11.735118642029086,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000203879
SLC39A1,1403,0.2135044201768071,brake_agonize,Stim8hr,0.7506193,0.3250130005200208,0.0,0.15,0.5,0.48510218,3.1597695,0.020274013288929964,-18.33345115483629,none,0.0,False,,,,,,transporter,small molecule,class_tractable_sm,True,not_assessed,,,,False,False,2,ENSG00000143570
ZSCAN22,1404,0.2133276131045242,driver_antagonize,Stim48hr,0.29408282,0.3244929797191888,0.0,0.15,0.5,-0.433399,-3.1592388,0.030244898810738455,-5.676893718982591,none,0.0,False,,,,,,transcription_factor,hard (TF — degrader/PPI),difficult_tf,False,not_assessed,,,,False,False,1,ENSG00000182318
ACAP2,1405,0.2127971918876755,driver_antagonize,Stim8hr,0.75729483,0.32293291731669266,0.0,0.15,0.5,-0.479665,-3.1577268,0.02037078052393556,-13.06363838424463,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000114331
APOL2,1406,0.21262038481539264,brake_agonize,Stim8hr,0.6695106,0.32241289651586064,0.0,0.15,0.5,0.5026675,3.1565762,0.020409790980907606,-18.531426004301565,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000128335
NIPA1,1407,0.21244357774310973,driver_antagonize,Stim48hr,0.71443874,0.3218928757150286,0.0,0.15,0.5,-0.47981715,-3.1564069,0.030436953528176325,-10.240916117129014,none,0.0,False,,,,,,transporter,small molecule,class_tractable_sm,True,not_assessed,,,,False,False,2,ENSG00000170113
NRN1,1408,0.21226677067082686,brake_agonize,Stim8hr,0.63667035,0.3213728549141966,0.0,0.15,0.5,0.38692358,3.156143,0.020412993443972936,-2.501709339487656,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000124785
YBEY,1409,0.21173634945397818,driver_antagonize,Rest,0.60887456,0.31981279251170047,0.0,0.15,0.5,-0.48534253,-3.1553354,0.041311883954483083,-1.9174234793735083,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000182362
ROGDI,1410,0.21155954238169528,driver_antagonize,Stim48hr,0.636583,0.31929277171086845,0.0,0.15,0.5,-0.53293735,-3.1547487,0.030501224778087234,-1.571125088220903,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000067836
DIAPH2,1411,0.2113827353094124,driver_antagonize,Stim48hr,0.7904024,0.31877275091003643,0.0,0.15,0.5,-0.4575692,-3.1530497,0.03058254329621045,-10.849993451824828,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000147202
ZNF641,1412,0.2112059282371295,driver_antagonize,Stim8hr,0.46514887,0.31825273010920435,0.0,0.15,0.5,-0.5430588,-3.1523767,0.02061635898139023,-7.825804345469685,none,0.0,False,,,,,,transcription_factor,hard (TF — degrader/PPI),difficult_tf,False,not_assessed,,,,False,False,1,ENSG00000167528
ACSL4,1413,0.21102912116484662,driver_antagonize,Stim8hr,0.5476228,0.31773270930837233,0.0,0.15,0.5,-0.4995171,-3.1522725,0.02061635898139023,-20.84511978628785,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000068366
KCTD9,1414,0.21085231409256372,driver_antagonize,Stim48hr,0.566236,0.3172126885075403,0.0,0.15,0.5,-0.41411635,-3.1520455,0.030636515315375226,-24.50710062153961,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000104756
ZNRD2,1415,0.21067550702028082,driver_antagonize,Rest,0.4254365,0.3166926677067083,0.0,0.15,0.5,-0.41635248,-3.150655,0.04188396792836588,-9.877268700932822,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000173465
BRPF1,1416,0.2105952321513728,driver_antagonize,Stim48hr,0.52036667,0.10660426417056683,0.2378326077779336,0.15,0.5,-0.55376977,-2.9107697,0.047793746729098495,-11.725350794540914,weak,0.2378326077779336,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000156983
STRIP1,1417,0.2104986999479979,driver_antagonize,Stim8hr,0.38886017,0.3161726469058762,0.0,0.15,0.5,-0.50763726,-3.1499586,0.020734108819619585,-21.60537775762547,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000143093
EDRF1,1418,0.21032189287571504,driver_antagonize,Stim48hr,0.45889944,0.3156526261050442,0.0,0.15,0.5,-0.47084212,-3.1481683,0.030940409630452137,-2.705584979286728,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000107938
UBE3C,1419,0.20979147165886636,brake_agonize,Rest,0.4345894,0.3140925637025481,0.0,0.15,0.5,0.5521127,3.146991,0.0421697473697196,-24.61899276375114,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000009335
NEIL3,1420,0.20961466458658345,driver_antagonize,Rest,0.73944384,0.31357254290171604,0.0,0.15,0.5,-0.4787648,-3.1463463,0.0421697473697196,-10.717338514388388,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000109674
