,dolc_IFNG_z,dolc_IL2_z,schmidt_signed,schmidt_dir,schmidt_causal,schmidt_integrated,direction,integrated_score
PANX2,0.3968902246297901,1.3781082924637698,0.3968902246297901,brake_agonize,1.3781082924637698,0.3831304347826087,driver_antagonize,0.3671497659906396
PAQR7,-0.9695581180174614,-0.5186359012692,-0.9695581180174614,driver_antagonize,0.9695581180174614,0.32233695652173916,driver_antagonize,0.3450488819552782
PARD6B,-0.1187999401600379,-0.4403658673137314,-0.1187999401600379,driver_antagonize,0.4403658673137314,0.17506521739130437,brake_agonize,0.10370722828913156
PARP11,-0.2362542568408357,-0.3752226818363319,-0.2362542568408357,driver_antagonize,0.3752226818363319,0.15788043478260871,driver_antagonize,0.13111232449297971
PARP16,-0.4033686935850571,-0.5069819125314828,-0.4033686935850571,driver_antagonize,0.5069819125314828,0.19520652173913045,driver_antagonize,0.18150234009360378
PARP2,-0.8959521378294779,-0.2334724181851785,-0.8959521378294779,driver_antagonize,0.8959521378294779,0.30681521739130435,brake_agonize,0.13694695787831515
PARP8,1.6817045116400926,-0.2705671180785846,1.6817045116400926,brake_agonize,1.6817045116400926,0.5455034220486044,driver_antagonize,0.5107095198577342
PAWR,0.0639437875489307,-0.4864405876903436,0.0639437875489307,brake_agonize,0.4864405876903436,0.188,driver_antagonize,0.29925585023400936
PCBP1,2.366590559824722,3.5789438703165644,2.366590559824722,brake_agonize,3.5789438703165644,0.4363478260869566,brake_agonize,0.3420431617264691
PCBP4,0.1433722044977569,-0.5568607704339228,0.1433722044977569,brake_agonize,0.5568607704339228,0.21294565217391306,driver_antagonize,0.4085226209048362
PCGF1,1.2438624556709523,0.8112758996667154,1.2438624556709523,brake_agonize,1.2438624556709523,0.36816304347826084,driver_antagonize,0.159931877275091
PCGF2,0.5657786604072625,0.4149074723017509,0.5657786604072625,brake_agonize,0.5657786604072625,0.21479347826086959,driver_antagonize,0.3418663546541862
PCIF1,-0.3315094712871354,1.2555269537866744,-0.3315094712871354,driver_antagonize,1.2555269537866744,0.3701956521739131,brake_agonize,0.19405564222568905
PCMTD1,0.3079247303946091,-0.5675972497050888,0.3079247303946091,brake_agonize,0.5675972497050888,0.2969310334512353,driver_antagonize,0.30355841593783917
PCSK7,-0.0046405046171748,0.9560112388583086,-0.0046405046171748,driver_antagonize,0.9560112388583086,0.3201195652173913,driver_antagonize,0.19653094123764953
PCYT2,-6.35045684524155,-1.6472953449769827,-6.35045684524155,driver_antagonize,6.35045684524155,0.4402282608695653,brake_agonize,0.16594331773270932
