target_gene,ensembl_id,direction,peak_condition,abs_emp_z,genetics_autoimmune,genetics_tier,primary_class,suggested_modality,is_druggable,n_drugs,drug_stages,max_drug_stage,novelty_class,in_paper_noms
APOL2,ENSG00000128335,brake_agonize,Stim8hr,3.1565762,0.0,none,,undetermined,False,,,,not_assessed,False
APOL6,ENSG00000221963,brake_agonize,Stim48hr,4.1127973,0.0,none,,undetermined,False,,,,not_assessed,False
APOLD1,ENSG00000178878,brake_agonize,Stim8hr,3.6019707,0.0,none,,undetermined,False,,,,not_assessed,False
ARF3,ENSG00000134287,driver_antagonize,Stim8hr,2.9203138,0.0,none,,undetermined,False,,,,not_assessed,False
ARF4,ENSG00000168374,driver_antagonize,Stim8hr,4.040252,0.0,none,,undetermined,False,,,,not_assessed,False
ARFGEF1,ENSG00000066777,brake_agonize,Stim8hr,3.6197922,0.0,none,,undetermined,False,,,,not_assessed,False
ARFRP1,ENSG00000101246,brake_agonize,Rest,3.4146333,0.213989730470069,weak,,undetermined,False,,,,not_assessed,False
ARHGAP27,ENSG00000159314,driver_antagonize,Stim8hr,3.3985,0.4928808026149677,moderate,,small molecule,True,0.0,,,novel_undrugged,False
ARHGAP32,ENSG00000134909,driver_antagonize,Stim8hr,2.7262888,0.4341571117955484,moderate,,undetermined,False,,,,not_assessed,False
ARHGEF12,ENSG00000196914,brake_agonize,Stim8hr,3.1321692,0.0,none,,undetermined,False,,,,not_assessed,False
ARHGEF6,ENSG00000129675,driver_antagonize,Stim48hr,4.0137534,0.0,none,,undetermined,False,,,,not_assessed,False
ARID1A,ENSG00000117713,driver_antagonize,Stim48hr,4.1052384,0.607930797611621,strong,,undetermined,False,0.0,,,novel_undrugged,False
ARL3,ENSG00000138175,driver_antagonize,Stim48hr,3.4274964,0.0,none,,undetermined,False,,,,not_assessed,False
ARL6,ENSG00000113966,brake_agonize,Stim8hr,2.9109375,0.0,none,,undetermined,False,,,,not_assessed,False
ARMC10,ENSG00000170632,driver_antagonize,Rest,3.377034,0.0,none,,undetermined,False,,,,not_assessed,False
ARMC6,ENSG00000105676,brake_agonize,Rest,3.187204,0.0,none,,undetermined,False,,,,not_assessed,False
ARMC8,ENSG00000114098,brake_agonize,Stim48hr,5.5019197,0.0,none,,undetermined,False,,,,not_assessed,False
ARMCX3,ENSG00000102401,driver_antagonize,Rest,3.6186526,0.0,none,,undetermined,False,,,,not_assessed,False
ARMH3,ENSG00000120029,driver_antagonize,Stim48hr,3.0512745,0.0,none,,undetermined,False,,,,not_assessed,False
ARNT,ENSG00000143437,brake_agonize,Rest,3.129191,0.0,none,transcription_factor,hard (TF — degrader/PPI),False,,,,not_assessed,False
ARPC1B,ENSG00000130429,brake_agonize,Stim8hr,3.5285327,0.0,none,,undetermined,False,,,,not_assessed,False
ARPC5L,ENSG00000136950,driver_antagonize,Stim48hr,3.6787093,0.0,none,,undetermined,False,,,,not_assessed,False
ARRDC3,ENSG00000113369,brake_agonize,Stim48hr,3.1276977,0.0,none,,undetermined,False,,,,not_assessed,False
ARSG,ENSG00000141337,driver_antagonize,Stim8hr,3.1702602,0.0,none,,undetermined,False,,,,not_assessed,False
ASCC2,ENSG00000100325,driver_antagonize,Stim8hr,2.7590194,0.5230822044233556,strong,,undetermined,False,,,,not_assessed,False
ASF1A,ENSG00000111875,driver_antagonize,Stim48hr,3.373632,0.0,none,,undetermined,False,,,,not_assessed,False
ASIC3,ENSG00000213199,driver_antagonize,Stim48hr,2.8904195,0.0,none,ion_channel,small molecule,True,,,,not_assessed,False
ASPH,ENSG00000198363,brake_agonize,Stim8hr,3.1815767,0.5297346298758058,strong,,undetermined,False,,,,not_assessed,False
ASRGL1,ENSG00000162174,driver_antagonize,Rest,3.215093,0.0,none,,undetermined,False,,,,not_assessed,False
ASTL,ENSG00000188886,driver_antagonize,Stim8hr,3.6763456,0.0,none,,undetermined,False,,,,not_assessed,False
ASXL1,ENSG00000171456,brake_agonize,Rest,3.3464453,0.4878278237184904,moderate,,undetermined,False,,,,not_assessed,False
ATAD3A,ENSG00000197785,driver_antagonize,Rest,3.1933012,0.0,none,,undetermined,False,,,,not_assessed,False
ATAD3B,ENSG00000160072,driver_antagonize,Stim48hr,3.9408221,0.238856098344374,weak,,antibody/biologic (surface),True,0.0,,,novel_undrugged,False
ATE1,ENSG00000107669,driver_antagonize,Stim48hr,3.2588005,0.0,none,,undetermined,False,,,,not_assessed,False
ATF1,ENSG00000123268,brake_agonize,Stim48hr,2.9644961,0.0,none,transcription_factor,hard (TF — degrader/PPI),False,,,,not_assessed,False
ATF4,ENSG00000128272,brake_agonize,Stim8hr,5.488117,0.0,none,transcription_factor,hard (TF — degrader/PPI),False,,,,not_assessed,False
ATF7IP,ENSG00000171681,brake_agonize,Stim48hr,3.006284,0.0,none,,undetermined,False,,,,not_assessed,False
ATG101,ENSG00000123395,brake_agonize,Stim8hr,3.8708353,0.0,none,,undetermined,False,,,,not_assessed,False
ATG12,ENSG00000145782,brake_agonize,Rest,4.4131174,0.0,none,,undetermined,False,,,,not_assessed,False
ATG2B,ENSG00000066739,driver_antagonize,Stim48hr,3.255516,0.6422269164080427,strong,,undetermined,False,,,,not_assessed,False
