perturbation,program_score,emp_z,emp_p,emp_fdr,direction,perturbed_gene
DNMT1 KO human GSE3699 sample 2851,-0.1458819141209295,-1.0474908057890917,0.2948732704658259,0.9998960276301339,driver_antagonize,DNMT1
MED12 KD human GSE38252 sample 2221,-0.018423803986727515,-0.1804042922108555,0.8568351849131057,0.9998960276301339,driver_antagonize,MED12
Por KO mouse GSE4262 sample 788,-0.04657148050186648,-0.41878942188481066,0.6753700363367956,0.9998960276301339,driver_antagonize,POR
PBRM1 KO human GSE36895 sample 1494,-0.4276077473133972,-2.6865269844224064,0.007219911610523778,0.1505867278766388,driver_antagonize,PBRM1
NRAS KD human GSE12445 sample 2376,-0.014862491844475946,0.15486100911489453,0.8769308929657901,0.9998960276301339,driver_antagonize,NRAS
Shh KO mouse GSE44754 sample 1439,-0.13896325523753397,-0.907545982727644,0.3641181446423679,0.9998960276301339,driver_antagonize,SHH
Ppara KO mouse GSE6864 sample 981,-0.16550193943972277,-1.2924648365824793,0.1961962157559356,0.9998960276301339,driver_antagonize,PPARA
SMARCB1 KD human GSE35909 sample 1419,0.10797922468786551,0.6916251895954811,0.4891727385070206,0.9998960276301339,brake_agonize,SMARCB1
Slc6a4 KO mouse GSE26025 sample 2250,0.00903302644887431,-0.13024455904052962,0.8963729417865889,0.9998960276301339,brake_agonize,SLC6A4
Dicer1 KO mouse GSE35844 sample 611,-0.014862491844475946,-0.3106648799156285,0.7560553987626067,0.9998960276301339,driver_antagonize,DICER1
FLI1 KD human GSE27524 sample 1595,-0.014862491844475946,-0.02271800236789546,0.9818752157283627,0.9998960276301339,driver_antagonize,FLI1
Cdkn1b KO mouse GSE9161 sample 2179,-0.014862491844475946,-0.33398461498228726,0.7383911682107088,0.9998960276301339,driver_antagonize,CDKN1B
MAPK7 KD human GSE53394 sample 1807,0.051199136883951724,0.5046416725148554,0.6138105349795006,0.9998960276301339,brake_agonize,MAPK7
FGFR3 KD human GSE41035 sample 1020,-0.014862491844475946,-0.16863433514953458,0.866084271772094,0.9998960276301339,driver_antagonize,FGFR3
NR2F2 KD human GSE47438 sample 2214,-0.014862491844475946,-0.1405880986703574,0.8881953507359964,0.9998960276301339,driver_antagonize,NR2F2
NELFE KD human GSE50588 sample 2796,0.4550714677686549,2.8184316818406083,0.004825887967261624,0.1100905692531558,brake_agonize,NELFE
Gfi1 KO mouse GSE20282 sample 174,-0.0860184928169474,-0.8306137590488721,0.40619185945763325,0.9998960276301339,driver_antagonize,GFI1
Trpv4 DEPLETION mouse GSE40280 sample 116,-0.12356248939282853,-0.9936694508132087,0.32038382012791344,0.9998960276301339,driver_antagonize,TRPV4
Zfpm2 KO mouse GSE15078 sample 179,-0.12530668614305218,-0.9522469055156392,0.340971777825654,0.9998960276301339,driver_antagonize,ZFPM2
STAG2 KO human GSE28214 sample 2845,0.09646645593668589,0.3698907375423959,0.7114639031342707,0.9998960276301339,brake_agonize,STAG2
Tsc1 KO mouse GSE55490 sample 1483,-0.014862491844475946,-0.34485680499045057,0.7302020253634273,0.9998960276301339,driver_antagonize,TSC1
IRX5 KO mouse GSE38826 sample 2744,0.10557670071086084,0.3984621535144074,0.6902895506655579,0.9998960276301339,brake_agonize,IRX5
PARK7 KD human GSE17204 sample 2444,-0.014862491844475946,-0.07962796878796971,0.9365331499653834,0.9998960276301339,driver_antagonize,PARK7
STAT1 KD human GSE44652 sample 186,-0.014862491844475946,0.08150265249292872,0.9350422155143367,0.9998960276301339,driver_antagonize,STAT1
Mat1a KO mouse GSE63062 sample 2939,-0.014862491844475946,-0.2616525972331697,0.7935892894658199,0.9998960276301339,driver_antagonize,MAT1A
Gmnn KD mouse GSE25737 sample 1354,-0.014862491844475946,-0.12709947964248497,0.898861663307961,0.9998960276301339,driver_antagonize,GMNN
PDE1C KD human GSE46538 sample 2224,-0.15208012848796154,-0.8740919432818021,0.38206818471369874,0.9998960276301339,driver_antagonize,PDE1C
Hmgn1 KO mouse GSE44356 sample 433,-0.014862491844475946,-0.00228186639353887,0.9981793356147878,0.9998960276301339,driver_antagonize,HMGN1
Usp22 DEPLETION mouse GSE42934 sample 311,-0.014862491844475946,-0.01725002770199034,0.9862371517799912,0.9998960276301339,driver_antagonize,USP22
Stat3 KO mouse GSE38375 sample 2479,0.12259692047849637,0.7382901277360879,0.46033816432937424,0.9998960276301339,brake_agonize,STAT3
Ffar4 KO mouse GSE32095 sample 534,-0.014862491844475946,-0.12924519001112586,0.8971636395887402,0.9998960276301339,driver_antagonize,FFAR4
Tlr5 KO mouse GSE5113 sample 921,0.6031283451540564,4.320661488253582,1.5556216179365826e-05,0.000987481548777135,brake_agonize,TLR5
Psap KO mouse GSE8307 sample 2491,-0.014862491844475946,-0.09072906891825491,0.9277078722273204,0.9998960276301339,driver_antagonize,PSAP
Mapk8 KO mouse GSE7648 sample 558,-0.014862491844475946,-0.3155816888905488,0.7523200380847315,0.9998960276301339,driver_antagonize,MAPK8
CMAHP KO mouse GSE16438 sample 1149,-0.014862491844475946,-0.08183222799232304,0.9347801277782218,0.9998960276301339,driver_antagonize,CMAHP
Dusp1 KO mouse GSE3565 sample 801,-0.6355214701139961,-5.48187316128474,4.208459249885829e-08,6.144350504833311e-06,driver_antagonize,DUSP1
Dhcr7 KO mouse GSE39811 sample 3084,-0.1290222333680669,-0.8032863701188503,0.4218092340579669,0.9998960276301339,driver_antagonize,DHCR7
Akt1 KO mouse GSE63848 sample 506,-0.014862491844475946,-0.31165481687580177,0.7553028696758615,0.9998960276301339,driver_antagonize,AKT1
KDM3A KD human GSE55667 sample 2878,-0.085546517374248,-0.7392999056639604,0.4597249065908242,0.9998960276301339,driver_antagonize,KDM3A
Pitx2 KO mouse GSE50399 sample 3059,-0.014862491844475946,0.11415500098396561,0.909114922659742,0.9998960276301339,driver_antagonize,PITX2
Ikbkb deletion mouse GSE25211 sample 2853,-0.004269363284534352,-0.02422086914882887,0.9806764318388882,0.9998960276301339,driver_antagonize,IKBKB
SOX2 KO human GSE59234 sample 2956,-0.021374335607767782,-0.19504795552446438,0.8453554054271126,0.9998960276301339,driver_antagonize,SOX2
Arx KO mouse GSE12609 sample 27,-0.014862491844475946,0.11135060411315412,0.9113383285902369,0.9998960276301339,driver_antagonize,ARX
Crhr2 KO mouse GSE25045 sample 3006,-0.014862491844475946,-0.00013031004141225017,0.9998960276301339,0.9998960276301339,driver_antagonize,CRHR2
Lipe KO mouse GSE1772 sample 528,-0.014862491844475946,0.1476618388611275,0.8826096495919191,0.9998960276301339,driver_antagonize,LIPE
Por KO mouse GSE4262 sample 789,-0.007717220504260199,0.01881376677169713,0.9849896714714012,0.9998960276301339,driver_antagonize,POR
Snca KO mouse GSE19534 sample 471,0.26055844995955174,1.698501146747905,0.08941321643545116,0.8108279254394951,brake_agonize,SNCA
Nod2 KO mouse GSE37179 sample 1122,-0.13544263103341853,-0.7480159330224706,0.45445054715524436,0.9998960276301339,driver_antagonize,NOD2
Cstb KO mouse GSE47516 sample 2730,-0.4422675534998151,-2.5111023772656416,0.012035478711104183,0.2224278344077482,driver_antagonize,CSTB
BRCA1 DEPLETION human GSE22259 sample 529,0.045700372609479185,0.09378688041158631,0.9252784536601206,0.9998960276301339,brake_agonize,BRCA1
Dnmt1 KO mouse GSE31626 sample 1236,0.021275254252197392,0.2542096573293796,0.7993335901542471,0.9998960276301339,brake_agonize,DNMT1
Pafah1b1 KO mouse GSE35366 sample 1613,-0.16388931752986868,-0.7759830256181223,0.43775900836543535,0.9998960276301339,driver_antagonize,PAFAH1B1
Nfe2l2 KO mouse GSE8969 sample 2190,-0.014862491844475946,-0.2731201221966191,0.7847608792802818,0.9998960276301339,driver_antagonize,NFE2L2
FGFR3 KD human GSE41035 sample 1019,-0.014862491844475946,-0.1245238457660539,0.9009005211251215,0.9998960276301339,driver_antagonize,FGFR3
Frzb KO mouse GSE33656 sample 2486,-0.11722287244629115,-0.4578876661616164,0.6470331484449688,0.9998960276301339,driver_antagonize,FRZB
Rp1 KO mouse GSE128 sample 1773,-0.014862491844475946,0.16546678774697227,0.8685765890074197,0.9998960276301339,driver_antagonize,RP1
HMGB1 KO mouse GSE18463 sample 2391,-0.014862491844475946,-0.24826909365299052,0.803926210220409,0.9998960276301339,driver_antagonize,HMGB1
Igf1 KO mouse GSE65202 sample 1318,-0.014862491844475946,-0.25532427116534656,0.7984726553467532,0.9998960276301339,driver_antagonize,IGF1
Mstn DEPLETION mouse GSE15349 sample 121,-0.014862491844475946,-0.18078522125477106,0.8565361636963965,0.9998960276301339,driver_antagonize,MSTN
HSF1 KD human GSE3697 sample 782,-0.014862491844475946,0.153092231188662,0.8783255422734066,0.9998960276301339,driver_antagonize,HSF1
Nfe2l2 KO mouse GSE18344 sample 1262,0.10923827755984596,0.6644652650633793,0.506392573230738,0.9998960276301339,brake_agonize,NFE2L2
FOXL2 KD human GSE39890 sample 2739,0.05020898685324937,0.2681923229141707,0.7885512840380984,0.9998960276301339,brake_agonize,FOXL2
Il10 KO mouse GSE25095 sample 1537,0.11087714143055068,0.7319581677715093,0.4641941009596374,0.9998960276301339,brake_agonize,IL10
Aurka KD mouse GSE23541 sample 1348,-0.014862491844475946,-0.01785091643472825,0.9857577857772103,0.9998960276301339,driver_antagonize,AURKA
Clpp KO mouse GSE40207 sample 415,0.08749788477805188,0.16553319944590258,0.8685243208807334,0.9998960276301339,brake_agonize,CLPP
Nr1i3 KO mouse GSE40120 sample 3055,-0.12356248939282853,-0.6996263017441985,0.4841607124683752,0.9998960276301339,driver_antagonize,NR1I3
Zbtb7b KO mouse GSE17812 sample 1681,-0.4099405888065865,-2.6222880672966675,0.008734157123441805,0.1746831424688361,driver_antagonize,ZBTB7B
Mfi2 KO mouse GSE4523 sample 975,-0.2195637529737062,-1.4928865082105274,0.13546689736685266,0.9675077052429745,driver_antagonize,MFI2
CASP2 KD human GSE61388 sample 2841,0.27517284866718744,1.9755594942102055,0.04820469010112477,0.572185752419855,brake_agonize,CASP2
Chsy1 KO mouse GSE29694 sample 2519,-0.1959623024820096,-1.240513845671543,0.21478539625165471,0.9998960276301339,driver_antagonize,CHSY1
Ncoa2 KO mouse GSE41558 sample 46,-0.014862491844475946,0.06112880615350727,0.9512566280495712,0.9998960276301339,driver_antagonize,NCOA2
Cstb KO mouse GSE47516 sample 226,0.4125425705940209,2.3295078300434335,0.01983217868249718,0.3113438803918912,brake_agonize,CSTB
Esr1 KO mouse GSE53812 sample 2898,-0.014862491844475946,-0.14325151061874541,0.8860915496900842,0.9998960276301339,driver_antagonize,ESR1
HIF1A KD human GSE44943 sample 2234,-0.014862491844475946,-0.01468526957775307,0.9882832712669029,0.9998960276301339,driver_antagonize,HIF1A
EHMT2 KD human GSE34925 sample 342,-0.21655685150868853,-1.1699213802906197,0.24203260899769885,0.9998960276301339,driver_antagonize,EHMT2
RB1 KD human GSE50532 sample 687,0.10923827755984596,0.6276431538923222,0.5302377323301125,0.9998960276301339,brake_agonize,RB1
EPAS1 KD human GSE54360 sample 2882,-0.014862491844475946,-0.14498540704672766,0.8847223935333721,0.9998960276301339,driver_antagonize,EPAS1
