target_gene,ensembl_id,peak_condition,direction,abs_emp_z,peak_signed_score,genetics_autoimmune,autoimmune_ot_score,ot_autoimmune_disease,ot_top_disease,ot_top_score,lof_bin,lof_constrained,mis_z,genetics_tier
NFE2L2,ENSG00000116044,Rest,brake_agonize,4.1849155,0.6380332,0.0,0.0,,,,,False,,none
NFKB1,ENSG00000109320,Stim48hr,driver_antagonize,3.0898013,-0.53310174,0.7873701228296212,0.7873701228296212,,,,,False,,strong
NGLY1,ENSG00000151092,Stim48hr,driver_antagonize,3.136509,-0.4896373,0.0,0.0,,,,,False,,none
NIBAN1,ENSG00000135842,Stim8hr,brake_agonize,3.7851477,0.5049796,0.0,0.0,,,,,False,,none
NIF3L1,ENSG00000196290,Stim48hr,driver_antagonize,3.7309868,-0.52856725,0.328634083792155,0.328634083792155,Hashimoto thyroiditis,hypothyroidism,0.384,5.0,False,0.6164699792861938,moderate
NINJ1,ENSG00000131669,Rest,driver_antagonize,3.1080513,-0.40553167,0.0,0.0,,,,,False,,none
NIP7,ENSG00000132603,Stim8hr,brake_agonize,3.0087268,0.45018008,0.0,0.0,,,,,False,,none
NIPA1,ENSG00000170113,Stim48hr,driver_antagonize,3.1564069,-0.47981715,0.0,0.0,,,,,False,,none
NIPBL,ENSG00000164190,Stim8hr,brake_agonize,2.7189252,0.5530079,0.0,0.0,,,,,False,,none
NKG7,ENSG00000105374,Stim8hr,driver_antagonize,2.7343636,-0.40345308,0.0,0.0,,,,,False,,none
NKTR,ENSG00000114857,Stim8hr,driver_antagonize,3.3929565,-0.55080277,0.0,0.0,,,,,False,,none
NMB,ENSG00000197696,Stim8hr,driver_antagonize,3.0802934,-0.42770043,0.0,0.0,,,,,False,,none
NOCT,ENSG00000151014,Rest,driver_antagonize,3.6665769,-0.4803327,0.0,0.0,,,,,False,,none
NOD1,ENSG00000106100,Stim8hr,driver_antagonize,3.3974147,-0.5181028,0.0,0.0,,,,,False,,none
NOL7,ENSG00000225921,Stim8hr,brake_agonize,2.932404,0.52178615,0.0,0.0,,,,,False,,none
NOSIP,ENSG00000142546,Stim48hr,brake_agonize,3.1187677,0.37487486,0.0,0.0,,,,,False,,none
NPAS2,ENSG00000170485,Stim48hr,brake_agonize,3.0574934,0.5539313,0.7493139069660278,0.7493139069660278,,,,,False,,strong
NPEPPS,ENSG00000141279,Stim48hr,driver_antagonize,3.8578525,-0.5955089,0.4739697167868436,0.4739697167868436,,neurodegenerative disease,0.524,0.0,True,4.730999946594238,moderate
NPL,ENSG00000135838,Stim8hr,driver_antagonize,3.5818598,-0.5182944,0.0,0.0,,,,,False,,none
NPLOC4,ENSG00000182446,Stim8hr,brake_agonize,3.3934948,0.40844345,0.0,0.0,,,,,False,,none
NPM3,ENSG00000107833,Rest,driver_antagonize,3.0498,-0.45508894,0.0,0.0,,,,,False,,none
NPTX1,ENSG00000171246,Stim48hr,driver_antagonize,3.0929134,-0.4252993,0.0,0.0,,,,,False,,none
NR2C1,ENSG00000120798,Rest,brake_agonize,3.777137,0.543118,0.0,0.0,,,,,False,,none
NR2C2AP,ENSG00000184162,Stim48hr,brake_agonize,2.896307,0.43722692,0.0,0.0,,,,,False,,none
NR3C1,ENSG00000113580,Stim8hr,driver_antagonize,2.9599211,-0.4284203,0.5295697338866425,0.5295697338866425,,,,,False,,strong
NRBP1,ENSG00000115216,Rest,driver_antagonize,3.5730166,-0.59749717,0.0,0.0,,,,,False,,none
NRM,ENSG00000137404,Rest,driver_antagonize,3.3668432,-0.4947858,0.0,0.0,,,,,False,,none
NRN1,ENSG00000124785,Stim8hr,brake_agonize,3.156143,0.38692358,0.0,0.0,,,,,False,,none
NRP2,ENSG00000118257,Stim48hr,driver_antagonize,4.091362,-0.53987175,0.0,0.0,,,,,False,,none
NSD3,ENSG00000147548,Stim8hr,driver_antagonize,3.3750787,-0.4484016,0.0,0.0,,,,,False,,none
NSMAF,ENSG00000035681,Stim8hr,driver_antagonize,3.3688366,-0.4822942,0.0,0.0,,,,,False,,none
NSUN3,ENSG00000178694,Rest,driver_antagonize,3.2121637,-0.5242741,0.0,0.0,,,,,False,,none
NSUN5,ENSG00000130305,Stim8hr,brake_agonize,2.8664868,0.46956757,0.0,0.0,,,,,False,,none
NT5M,ENSG00000205309,Stim8hr,driver_antagonize,2.8763509,-0.41856396,0.0,0.0,,,,,False,,none
NTPCR,ENSG00000135778,Rest,brake_agonize,4.0127215,0.5633665,0.0,0.0,,,,,False,,none
NUAK2,ENSG00000163545,Rest,brake_agonize,3.5381188,0.5891849,0.0,0.0,,,,,False,,none
NUDT11,ENSG00000196368,Stim48hr,driver_antagonize,5.172639,-0.7926655,0.0,0.0,,,,,False,,none
NUDT16L1,ENSG00000168101,Stim8hr,driver_antagonize,2.8893666,-0.43477806,0.0,0.0,,,,,False,,none
NUDT17,ENSG00000186364,Stim48hr,driver_antagonize,3.3819818,-0.5010495,0.0,0.0,,,,,False,,none
NUDT3,ENSG00000272325,Stim8hr,driver_antagonize,3.8221824,-0.5421079,0.6449268085819837,0.6449268085819837,Graves disease,neurodegenerative disease,0.452,2.0,False,1.160599946975708,strong
NUDT5,ENSG00000165609,Stim8hr,driver_antagonize,2.8830793,-0.4334674,0.0,0.0,,,,,False,,none
NUP210,ENSG00000132182,Stim48hr,brake_agonize,2.8893368,0.45752367,0.0,0.0,,,,,False,,none
NUP37,ENSG00000075188,Stim8hr,driver_antagonize,2.947388,-0.4326446,0.0,0.0,,,,,False,,none
OASL,ENSG00000135114,Stim48hr,driver_antagonize,3.4377666,-0.54118395,0.0,0.0,,,,,False,,none
OAZ1,ENSG00000104904,Stim8hr,driver_antagonize,3.995982,-0.6207559,0.0,0.0,,,,,False,,none
OBSCN,ENSG00000154358,Stim8hr,driver_antagonize,3.4379163,-0.52010566,0.0,0.0,,,,,False,,none
OCIAD2,ENSG00000145247,Stim8hr,driver_antagonize,3.8742077,-0.48120704,0.0,0.0,,,,,False,,none
OFD1,ENSG00000046651,Stim48hr,driver_antagonize,4.5555367,-0.6341969,0.0,0.0,,,,,False,,none
OGG1,ENSG00000114026,Rest,driver_antagonize,3.3347437,-0.5222065,0.0,0.0,,,,,False,,none
OPTN,ENSG00000123240,Stim8hr,driver_antagonize,4.656855,-0.68183523,0.0,0.0,,,,,False,,none
ORC4,ENSG00000115947,Stim48hr,driver_antagonize,4.4306827,-0.7139795,0.0,0.0,,,,,False,,none
ORMDL2,ENSG00000123353,Rest,driver_antagonize,3.0671775,-0.54154855,0.0,0.0,,,,,False,,none
OS9,ENSG00000135506,Stim8hr,driver_antagonize,3.9483967,-0.6155926,0.4733319387828243,0.4733319387828243,multiple sclerosis,holoprosencephaly,0.503,4.0,False,1.3387000560760498,moderate
OSBPL10,ENSG00000144645,Stim48hr,driver_antagonize,3.000337,-0.39468467,0.0,0.0,,,,,False,,none
OSGEPL1,ENSG00000128694,Stim48hr,driver_antagonize,3.0624366,-0.4349395,0.0,0.0,,,,,False,,none
