target_gene,ensembl_id,direction,peak_condition,abs_emp_z,genetics_autoimmune,genetics_tier,primary_class,protein_classes,tractability_tier,suggested_modality,is_druggable,sm_clinical,sm_ligand,sm_pocket,sm_druggable_family,ab_clinical,ab_surface,n_drugs,drug_stages
BTG2,ENSG00000159388,brake_agonize,Rest,4.2690816,0.0,none,,,unknown,undetermined,False,,,,,,,,
BTG3,ENSG00000154640,brake_agonize,Stim8hr,2.93917,0.0,none,,,unknown,undetermined,False,,,,,,,,
BTN3A3,ENSG00000111801,brake_agonize,Stim8hr,3.740389,0.0,none,,,unknown,undetermined,False,,,,,,,,
BTRC,ENSG00000166167,driver_antagonize,Stim48hr,3.3400912,0.0,none,,,unknown,undetermined,False,,,,,,,,
C10orf88,ENSG00000119965,brake_agonize,Rest,3.2374663,0.0,none,,,unknown,undetermined,False,,,,,,,,
C11orf21,ENSG00000110665,driver_antagonize,Stim48hr,3.253671,0.0,none,,,unknown,undetermined,False,,,,,,,,
C11orf54,ENSG00000182919,brake_agonize,Stim8hr,3.5420184,0.0,none,,,unknown,undetermined,False,,,,,,,,
C15orf48,ENSG00000166920,driver_antagonize,Stim48hr,3.2181892,0.0,none,,,unknown,undetermined,False,,,,,,,,
C16orf87,ENSG00000155330,brake_agonize,Stim48hr,3.8061433,0.0,none,,,unknown,undetermined,False,,,,,,,,
C18orf32,ENSG00000177576,brake_agonize,Stim8hr,3.856007,0.0,none,,,unknown,undetermined,False,,,,,,,,
C1GALT1C1,ENSG00000171155,brake_agonize,Stim48hr,2.9509084,0.140588749233783,weak,,,unknown,undetermined,False,,,,,,,,
C1R,ENSG00000159403,driver_antagonize,Stim48hr,3.1162813,0.7599134970145264,strong,enzyme,enzyme,class_tractable_sm,small molecule,True,,,,,,,,
C1orf122,ENSG00000197982,driver_antagonize,Stim8hr,4.7782497,0.1903670781373236,weak,,,unknown,undetermined,False,False,False,False,False,False,False,0.0,
C1orf174,ENSG00000198912,brake_agonize,Stim8hr,2.8434768,0.4784676359587069,moderate,,,unknown,undetermined,False,,,,,,,,
C1orf198,ENSG00000119280,driver_antagonize,Rest,4.2787786,0.0,none,,,unknown,undetermined,False,,,,,,,,
C1orf216,ENSG00000142686,driver_antagonize,Stim8hr,5.5899806,0.0,none,,,unknown,undetermined,False,,,,,,,,
C1orf74,ENSG00000162757,driver_antagonize,Stim8hr,3.7743733,0.0,none,,,unknown,undetermined,False,,,,,,,,
C2CD4D,ENSG00000225556,driver_antagonize,Stim48hr,3.6192348,0.0,none,,,unknown,undetermined,False,,,,,,,,
C2orf68,ENSG00000168887,driver_antagonize,Stim8hr,4.8303537,0.0,none,,,unknown,undetermined,False,,,,,,,,
C4orf3,ENSG00000164096,driver_antagonize,Stim8hr,3.7732465,0.0,none,,,unknown,undetermined,False,,,,,,,,
C5orf34,ENSG00000172244,brake_agonize,Stim8hr,3.5861392,0.0,none,,,unknown,undetermined,False,,,,,,,,
C5orf63,ENSG00000164241,brake_agonize,Rest,3.297434,0.0,none,,,unknown,undetermined,False,,,,,,,,
C8orf33,ENSG00000182307,brake_agonize,Stim8hr,4.06155,0.3279573573425469,moderate,,,unknown,undetermined,False,False,False,False,False,False,False,0.0,
C8orf76,ENSG00000189376,driver_antagonize,Stim8hr,4.2861705,0.0,none,,,unknown,undetermined,False,,,,,,,,
CA11,ENSG00000063180,driver_antagonize,Stim48hr,3.313102,0.0,none,,,unknown,undetermined,False,,,,,,,,
