gene,protein_classes,primary_class
TAS2R31,GPCR,GPCR
OR2A7,GPCR,GPCR
ADGRL4,GPCR,GPCR
GPR83,GPCR,GPCR
GPR158,GPCR,GPCR
OR4C3,GPCR,GPCR
OR2K2,GPCR,GPCR
CMKLR1,GPCR,GPCR
FZD8,GPCR,GPCR
OR4K13,GPCR,GPCR
OR10H4,GPCR,GPCR
OR2T11,GPCR,GPCR
TAS2R42,GPCR,GPCR
OR10A5,GPCR,GPCR
OR2AG1,GPCR,GPCR
OR2C1,GPCR,GPCR
OR10A3,GPCR,GPCR
QRFPR,GPCR,GPCR
DRD2,GPCR,GPCR
OR1L4,GPCR,GPCR
OR5R1,GPCR,GPCR
OR5I1,GPCR,GPCR
OR5D16,GPCR,GPCR
GPR75,GPCR;cytokine_receptor,GPCR
LPAR3,GPCR,GPCR
OR9K2,GPCR,GPCR
OPN1MW,GPCR,GPCR
OR2L2,GPCR,GPCR
OR5H2,GPCR,GPCR
OR4D11,GPCR,GPCR
TACR1,GPCR,GPCR
LGR6,GPCR,GPCR
PTGIR,GPCR,GPCR
GPR183,GPCR,GPCR
CXCR1,GPCR;cytokine_receptor,GPCR
GPR62,GPCR,GPCR
OR11H2,GPCR,GPCR
OR1J2,GPCR,GPCR
OR10D3,GPCR,GPCR
PTH1R,GPCR,GPCR
GPR4,GPCR,GPCR
CYSLTR2,GPCR,GPCR
CHRM5,GPCR,GPCR
HTR1B,GPCR,GPCR
CCKAR,GPCR,GPCR
NPSR1,GPCR,GPCR
OR7G2,GPCR,GPCR
HCRTR1,GPCR,GPCR
P2RY4,GPCR,GPCR
OR10H1,GPCR,GPCR
OR12D1,GPCR,GPCR
OR5K2,GPCR,GPCR
GPR142,GPCR,GPCR
OR11H4,GPCR,GPCR
CCR10,GPCR;cytokine_receptor,GPCR
OR2T3,GPCR,GPCR
OR52N2,GPCR,GPCR
OR52N4,GPCR,GPCR
OR52M1,GPCR,GPCR
CYSLTR1,GPCR,GPCR
FPR1,GPCR,GPCR
OR2A14,GPCR,GPCR
OR2T2,GPCR,GPCR
OR6T1,GPCR,GPCR
GPR78,GPCR,GPCR
OR2B6,GPCR,GPCR
OR2T33,GPCR,GPCR
GPR21,GPCR,GPCR
CHRM3,GPCR,GPCR
HTR2A,GPCR,GPCR
MCHR1,GPCR,GPCR
GLP2R,GPCR,GPCR
ACKR4,GPCR;cytokine_receptor,GPCR
GPR150,GPCR,GPCR
OR5D14,GPCR,GPCR
VN1R4,GPCR,GPCR
ADGRE5,GPCR,GPCR
OR4K3,GPCR,GPCR
MRGPRX2,GPCR,GPCR
OR9Q2,GPCR,GPCR
NPY2R,GPCR,GPCR
OR1J4,GPCR,GPCR
NMUR1,GPCR,GPCR
CASR,GPCR,GPCR
OR7A17,GPCR,GPCR
CCR8,GPCR;cytokine_receptor,GPCR
FZD9,GPCR,GPCR
GPR32,GPCR,GPCR
GPR85,GPCR,GPCR
OR7A10,GPCR,GPCR
PROKR1,GPCR,GPCR
GRM8,GPCR,GPCR
OR6C65,GPCR,GPCR
PTGER3,GPCR,GPCR
PTH2R,GPCR,GPCR
OR1D5,GPCR,GPCR
FFAR1,GPCR,GPCR
OR6C1,GPCR,GPCR
HTR2B,GPCR,GPCR
EDNRA,GPCR,GPCR
MTNR1A,GPCR,GPCR
OR2G6,GPCR,GPCR
GPR1,GPCR,GPCR
OR2M2,GPCR,GPCR
OR2M7,GPCR,GPCR
HTR5A,GPCR,GPCR
OR52E8,GPCR,GPCR
GRPR,GPCR,GPCR
GPR84,GPCR,GPCR
OR10J4,GPCR,GPCR
OR2A12,GPCR,GPCR
OR2A5,GPCR,GPCR
PRLHR,GPCR,GPCR
ADGRE3,GPCR,GPCR
MRGPRX1,GPCR,GPCR
GPR171,GPCR,GPCR
ADGRL2,GPCR,GPCR
OR2T8,GPCR,GPCR
OR4L1,GPCR,GPCR
ADGRG6,GPCR,GPCR
OR6C3,GPCR,GPCR
OPN1MW2,GPCR,GPCR
P2RY8,GPCR,GPCR
RXFP4,GPCR,GPCR
OR5L1,GPCR,GPCR
GRM7,GPCR,GPCR
OR2D2,GPCR,GPCR
HTR1D,GPCR,GPCR
NPBWR2,GPCR,GPCR
FZD6,GPCR,GPCR
CCRL2,GPCR;cytokine_receptor,GPCR
TAS2R19,GPCR,GPCR
OR4K15,GPCR,GPCR
GPR139,GPCR,GPCR
OR4C16,GPCR,GPCR
OR52I2,GPCR,GPCR
OR4C11,GPCR,GPCR
TAS2R14,GPCR,GPCR
TAS2R40,GPCR,GPCR
GRM5,GPCR,GPCR
OR52I1,GPCR,GPCR
ADGRG4,GPCR,GPCR
TACR3,GPCR,GPCR
VN1R2,GPCR,GPCR
CNR1,GPCR,GPCR
GPR27,GPCR,GPCR
ADCYAP1R1,GPCR,GPCR
OR6N2,GPCR,GPCR
OR6Q1,GPCR,GPCR
OR2T7,GPCR,GPCR
AVPR2,GPCR,GPCR
GPER1,GPCR,GPCR
OR2C3,GPCR,GPCR
OR2T5,GPCR,GPCR
GPR12,GPCR,GPCR
GPR19,GPCR,GPCR
OR51A4,GPCR,GPCR
GPRC5A,GPCR,GPCR
OR1L8,GPCR,GPCR
OR2J1,GPCR,GPCR
KISS1R,GPCR,GPCR
OR5G3,GPCR,GPCR
ADGRF1,GPCR,GPCR
GPR18,GPCR,GPCR
OR5AU1,GPCR,GPCR
SSTR5,GPCR,GPCR
TAS2R20,GPCR,GPCR
OR6C70,GPCR,GPCR
OR10G6,GPCR,GPCR
OR4Q3,GPCR,GPCR
TAS2R7,GPCR,GPCR
OPRK1,GPCR,GPCR
GCGR,GPCR,GPCR
CCR6,GPCR;cytokine_receptor,GPCR
ADGRL3,GPCR,GPCR
GPR37,GPCR,GPCR
OR5P3,GPCR,GPCR
GPR35,GPCR;cytokine_receptor,GPCR
TBXA2R,GPCR,GPCR
