gene,protein_classes,primary_class
RAB11FIP1,GPCR,GPCR
SCTR,GPCR,GPCR
GNRHR,GPCR,GPCR
GRM1,GPCR,GPCR
OR1S2,GPCR,GPCR
OR9A2,GPCR,GPCR
TAS1R2,GPCR,GPCR
TAS2R13,GPCR,GPCR
CRHR2,GPCR,GPCR
GPR22,GPCR,GPCR
P2RY10,GPCR,GPCR
OR6S1,GPCR,GPCR
OR1B1,GPCR,GPCR
MC5R,GPCR,GPCR
TAS2R50,GPCR,GPCR
OR4D2,GPCR,GPCR
OR5K1,GPCR,GPCR
OR56B1,GPCR,GPCR
CELSR2,GPCR,GPCR
TAAR8,GPCR,GPCR
F2RL1,GPCR,GPCR
ADGRF5,GPCR,GPCR
CALCR,GPCR,GPCR
OR1A1,GPCR,GPCR
RGR,GPCR,GPCR
OR13D1,GPCR,GPCR
SLC52A2,GPCR;transporter,GPCR
OR52B2,GPCR,GPCR
GPR33,GPCR,GPCR
HTR1F,GPCR,GPCR
GPR148,GPCR,GPCR
OR4N4,GPCR,GPCR
OR4M2,GPCR,GPCR
OXGR1,GPCR,GPCR
OR1E2,GPCR,GPCR
GPR87,GPCR,GPCR
HCRTR2,GPCR,GPCR
OR11G2,GPCR,GPCR
ADGRG2,GPCR,GPCR
OR1L1,GPCR,GPCR
OR8H1,GPCR,GPCR
OR3A2,GPCR,GPCR
MC2R,GPCR,GPCR
OR2D3,GPCR,GPCR
OR4K17,GPCR,GPCR
OR51B2,GPCR,GPCR
OR4P4,GPCR,GPCR
OR6P1,GPCR,GPCR
OR4E1,GPCR,GPCR
OR56A1,GPCR,GPCR
GPR151,GPCR,GPCR
P2RY12,GPCR,GPCR
OR2B11,GPCR,GPCR
TAS2R16,GPCR,GPCR
FPR2,GPCR,GPCR
GPR149,GPCR,GPCR
OR8U1,GPCR,GPCR
OR7E24,GPCR,GPCR
FPR3,GPCR,GPCR
GPR39,GPCR,GPCR
ADGRF4,GPCR,GPCR
C5AR2,GPCR,GPCR
OR7D4,GPCR,GPCR
CALCRL,GPCR,GPCR
OR1K1,GPCR,GPCR
DRD1,GPCR,GPCR
GRM4,GPCR,GPCR
OR51A7,GPCR,GPCR
OR51D1,GPCR,GPCR
CCR9,GPCR;cytokine_receptor,GPCR
OR52A1,GPCR,GPCR
VN1R1,GPCR,GPCR
TAS2R60,GPCR,GPCR
TAS2R4,GPCR,GPCR
ADGRA2,GPCR,GPCR
OR52E6,GPCR,GPCR
OR6C74,GPCR,GPCR
P2RY1,GPCR,GPCR
OR5B12,GPCR,GPCR
OPN4,GPCR,GPCR
HCAR1,GPCR,GPCR
OR2M4,GPCR,GPCR
OR5K4,GPCR,GPCR
TAAR9,GPCR,GPCR
ADGRG7,GPCR,GPCR
HRH2,GPCR,GPCR
OR9A4,GPCR,GPCR
GHRHR,GPCR,GPCR
OR4F29,GPCR,GPCR
OR10A4,GPCR,GPCR
OR7D2,GPCR,GPCR
OR4K1,GPCR,GPCR
HCAR2,GPCR,GPCR
OR4K5,GPCR,GPCR
OR1J1,GPCR,GPCR
OR6K3,GPCR,GPCR
PTGDR2,GPCR,GPCR
OR6V1,GPCR,GPCR
SSTR2,GPCR,GPCR
TACR2,GPCR,GPCR
HTR7,GPCR,GPCR
NTSR1,GPCR,GPCR
P2RY11,GPCR,GPCR
ADGRG3,GPCR,GPCR
VIPR2,GPCR,GPCR
OR4C13,GPCR,GPCR
OR2H1,GPCR,GPCR
OPN1SW,GPCR,GPCR
OR10P1,GPCR,GPCR
CHRM1,GPCR,GPCR
OR5D13,GPCR,GPCR
OR6N1,GPCR,GPCR
GPR101,GPCR,GPCR
GPR174,GPCR,GPCR
GPR55,GPCR,GPCR
RXFP1,GPCR,GPCR
OPN1LW,GPCR,GPCR
OR52E1,GPCR,GPCR
GPR135,GPCR,GPCR
OR4F4,GPCR,GPCR
OR51I1,GPCR,GPCR
CELSR1,GPCR,GPCR
OR5K3,GPCR,GPCR
OR8I2,GPCR,GPCR
CELSR3,GPCR,GPCR
ADRA1B,GPCR,GPCR
F2RL2,GPCR,GPCR
HRH1,GPCR,GPCR
OR5V1,GPCR,GPCR
OR8K1,GPCR,GPCR
OR51J1,GPCR,GPCR
OR4N2,GPCR,GPCR
GPR143,GPCR,GPCR
GPR161,GPCR,GPCR
OR2W5,GPCR,GPCR
MAS1L,GPCR,GPCR
OR14C36,GPCR,GPCR
GPR132,GPCR,GPCR
OR52A5,GPCR,GPCR
OR52E5,GPCR,GPCR
OR8K3,GPCR,GPCR
OR2AG2,GPCR,GPCR
OR7A5,GPCR,GPCR
NMBR,GPCR,GPCR
OR8B12,GPCR,GPCR
OR4X1,GPCR,GPCR
PTGER1,GPCR,GPCR
OR52E4,GPCR,GPCR
PTHLH,GPCR;cytokine,GPCR
OR10H2,GPCR,GPCR
OR2W3,GPCR,GPCR
OR8S1,GPCR,GPCR
P2RY6,GPCR,GPCR
ADORA2B,GPCR,GPCR
OR9G4,GPCR,GPCR
OR5B21,GPCR,GPCR
OR4D1,GPCR,GPCR
GPR146,GPCR,GPCR
MRGPRE,GPCR,GPCR
FZD10,GPCR,GPCR
ADGRE2,GPCR,GPCR
OR8J2,GPCR,GPCR
GPR152,GPCR,GPCR
LTB4R2,GPCR,GPCR
OR13C4,GPCR,GPCR
GPR6,GPCR,GPCR
RXFP2,GPCR,GPCR
FZD4,GPCR,GPCR
SSTR3,GPCR,GPCR
OR10C1,GPCR,GPCR
OR52B4,GPCR,GPCR
OR5F1,GPCR,GPCR
OR4M1,GPCR,GPCR
ADGRV1,GPCR,GPCR
OR9G1,GPCR,GPCR
PTGFR,GPCR,GPCR
OR2A25,GPCR,GPCR
ADRA2B,GPCR,GPCR
GPR157,GPCR,GPCR
OR2T34,GPCR,GPCR
GPR20,GPCR,GPCR
OR10W1,GPCR,GPCR
MRFAP1,GPCR,GPCR
GRM6,GPCR,GPCR
OR5C1,GPCR,GPCR
OR2Y1,GPCR,GPCR
OR5B17,GPCR,GPCR
GPBAR1,GPCR,GPCR
OR2T1,GPCR,GPCR
OR1D4,GPCR,GPCR
OR4K14,GPCR,GPCR
GPR52,GPCR,GPCR
MAGEE2,GPCR,GPCR
OR4A8,GPCR,GPCR
SLC52A1,GPCR;transporter,GPCR
OR51F1,GPCR,GPCR
GPR65,GPCR,GPCR
OR4F6,GPCR,GPCR
GALR2,GPCR,GPCR
AGTR1,GPCR,GPCR
CNR2,GPCR,GPCR
OR2L8,GPCR,GPCR
OR2S2,GPCR,GPCR
OR1M1,GPCR,GPCR
ADGRB2,GPCR,GPCR
OR4N5,GPCR,GPCR
NPY4R,GPCR,GPCR
HTR4,GPCR,GPCR
FZD2,GPCR,GPCR
OR8J3,GPCR,GPCR
CCR4,GPCR;cytokine_receptor,GPCR
APLNR,GPCR,GPCR
TAS2R30,GPCR,GPCR
FZD5,GPCR,GPCR
OR10J5,GPCR,GPCR
OR2AJ1,GPCR,GPCR
OPN5,GPCR,GPCR
MTNR1B,GPCR,GPCR
TAS1R3,GPCR,GPCR
TAS2R38,GPCR,GPCR
OR2J2,GPCR,GPCR
OR10AC1,GPCR,GPCR
OR6B2,GPCR,GPCR
OR4F21,GPCR,GPCR
SCN4B,ion_channel,ion_channel
MCOLN2,ion_channel,ion_channel
GABRP,ion_channel,ion_channel
CHRNA3,ion_channel,ion_channel
KCNN2,ion_channel,ion_channel
HCN4,ion_channel,ion_channel
GJB5,ion_channel,ion_channel
GABRQ,ion_channel,ion_channel
RYR1,ion_channel,ion_channel
CACNB2,ion_channel,ion_channel
KCNJ18,ion_channel,ion_channel
GLRB,ion_channel,ion_channel
KCNJ1,ion_channel,ion_channel
KCNJ4,ion_channel,ion_channel
CATSPER1,ion_channel,ion_channel
HCN2,ion_channel,ion_channel
CACNG1,ion_channel,ion_channel
ITPR2,ion_channel,ion_channel
TRPC1,ion_channel,ion_channel
LRRC8A,ion_channel,ion_channel
SCNN1A,ion_channel,ion_channel
KCNT1,ion_channel,ion_channel
GJB3,ion_channel,ion_channel
KCNA7,ion_channel,ion_channel
CLIC1,ion_channel,ion_channel
CFTR,ion_channel,ion_channel
KCNC2,ion_channel,ion_channel
CATSPERG,ion_channel,ion_channel
HTR3C,ion_channel,ion_channel
KCNC4,ion_channel,ion_channel
BEST1,ion_channel,ion_channel
KCNK6,ion_channel,ion_channel
GRID1,ion_channel,ion_channel
AQP12A,ion_channel,ion_channel
CATSPERB,ion_channel,ion_channel
CACNG5,ion_channel,ion_channel
CHRNA7,ion_channel,ion_channel
GABRB1,ion_channel,ion_channel
NALCN,ion_channel,ion_channel
GLRA2,ion_channel,ion_channel
KCNQ3,ion_channel,ion_channel
KCNF1,ion_channel,ion_channel
SCN1B,ion_channel,ion_channel
KCNQ2,ion_channel,ion_channel
KCNC3,ion_channel,ion_channel
AQP4,ion_channel,ion_channel
KCNK18,ion_channel,ion_channel
GJC3,ion_channel,ion_channel
KCND2,ion_channel,ion_channel
ANO2,ion_channel,ion_channel
P2RX4,ion_channel,ion_channel
GJC1,ion_channel,ion_channel
CACNA2D4,ion_channel,ion_channel
KCNA4,ion_channel,ion_channel
KCNN4,ion_channel,ion_channel
GABRA2,ion_channel,ion_channel
TRPM8,ion_channel,ion_channel
CLCN4,ion_channel,ion_channel
GLRA4,ion_channel,ion_channel
KCNA3,ion_channel,ion_channel
AQP9,ion_channel,ion_channel
GRIA3,ion_channel,ion_channel
SCNN1G,ion_channel,ion_channel
CLIC3,ion_channel,ion_channel
GJE1,ion_channel,ion_channel
GRIN1,ion_channel,ion_channel
CHRNE,ion_channel,ion_channel
GJB1,ion_channel,ion_channel
TRPC2,ion_channel,ion_channel
MCOLN1,ion_channel,ion_channel
TRPA1,ion_channel,ion_channel
GABRA1,ion_channel,ion_channel
PKD2L2,ion_channel,ion_channel
LRRC8C,ion_channel,ion_channel
SCNN1B,ion_channel,ion_channel
BSND,ion_channel,ion_channel
GABRG2,ion_channel,ion_channel
AQP5,ion_channel,ion_channel
CACNG7,ion_channel,ion_channel
GABRR1,ion_channel,ion_channel
TRPC7,ion_channel,ion_channel
SCN1A,ion_channel,ion_channel
GABRB3,ion_channel,ion_channel
SCN3A,ion_channel,ion_channel
TRPV6,ion_channel,ion_channel
SCN2A,ion_channel,ion_channel
GJD4,ion_channel,ion_channel
CACNA1E,ion_channel,ion_channel
SCN10A,ion_channel,ion_channel
AQP7,ion_channel,ion_channel
KCNU1,ion_channel,ion_channel
CHRNA2,ion_channel,ion_channel
TPCN1,ion_channel,ion_channel
SCN4A,ion_channel,ion_channel
ANO4,ion_channel,ion_channel
CATSPER4,ion_channel,ion_channel
GLRA1,ion_channel,ion_channel
TRPC6,ion_channel,ion_channel
KCNH1,ion_channel,ion_channel
CLCN5,ion_channel,ion_channel
KCNT2,ion_channel,ion_channel
ASIC4,ion_channel,ion_channel
TRPC5,ion_channel,ion_channel
GJA8,ion_channel,ion_channel
SCN11A,ion_channel,ion_channel
KCNJ10,ion_channel,ion_channel
CLCN7,ion_channel,ion_channel
KCNQ4,ion_channel,ion_channel
GRIA2,ion_channel,ion_channel
LRRC8D,ion_channel,ion_channel
KCNMA1,ion_channel,ion_channel
KCNS1,ion_channel,ion_channel
SCN8A,ion_channel,ion_channel
P2RX3,ion_channel,ion_channel
KCNJ15,ion_channel,ion_channel
CHRNB4,ion_channel,ion_channel
CNGA1,ion_channel,ion_channel
GABRG3,ion_channel,ion_channel
GJA6P,ion_channel,ion_channel
CATSPER2,ion_channel,ion_channel
KCNA1,ion_channel,ion_channel
GRIK3,ion_channel,ion_channel
MCOLN3,ion_channel,ion_channel
KCNJ11,ion_channel,ion_channel
GABRA3,ion_channel,ion_channel
GRIA4,ion_channel,ion_channel
KCNJ14,ion_channel,ion_channel
HTR3A,ion_channel,ion_channel
KCND1,ion_channel,ion_channel
P2RX6,ion_channel,ion_channel
CHRNG,ion_channel,ion_channel
GRIK4,ion_channel,ion_channel
KCNK7,ion_channel,ion_channel
CHRNA9,ion_channel,ion_channel
KCNN3,ion_channel,ion_channel
GRID2,ion_channel,ion_channel
CACNA1C,ion_channel,ion_channel
TRPM1,ion_channel,ion_channel
ZACN,ion_channel,ion_channel
KCNH6,ion_channel,ion_channel
CACNA1A,ion_channel,ion_channel
HTR3B,ion_channel,ion_channel
TRPC4,ion_channel,ion_channel
PKD2,ion_channel,ion_channel
GJA4,ion_channel,ion_channel
ASIC1,ion_channel,ion_channel
CHRNB2,ion_channel,ion_channel
KCNC1,ion_channel,ion_channel
CLCNKB,ion_channel,ion_channel
HTR3D,ion_channel,ion_channel
GJA10,ion_channel,ion_channel
KCNJ5,ion_channel,ion_channel
GJC2,ion_channel,ion_channel
KCNQ5,ion_channel,ion_channel
KCNH4,ion_channel,ion_channel
TRPM2,ion_channel,ion_channel
KCNS2,ion_channel,ion_channel
LRRC8B,ion_channel,ion_channel
GABRE,ion_channel,ion_channel
GRIK2,ion_channel,ion_channel
KCNK12,ion_channel,ion_channel
ASIC2,ion_channel,ion_channel
KCNJ3,ion_channel,ion_channel
KCNJ2,ion_channel,ion_channel
KCNK5,ion_channel,ion_channel
GRIN3B,ion_channel,ion_channel
ASIC5,ion_channel,ion_channel
AQP2,ion_channel,ion_channel
CHRNA4,ion_channel,ion_channel
AQP12B,ion_channel,ion_channel
GRIN2B,ion_channel,ion_channel
KCNA2,ion_channel,ion_channel
KCNV1,ion_channel,ion_channel
GABRR3,ion_channel,ion_channel
CACNB3,ion_channel,ion_channel
KCNK15,ion_channel,ion_channel
KCNJ6,ion_channel,ion_channel
GJA5,ion_channel,ion_channel
KCNK3,ion_channel,ion_channel
CLIC4,ion_channel,ion_channel
KCNK1,ion_channel,ion_channel
GLRA3,ion_channel,ion_channel
GRIN2D,ion_channel,ion_channel
GJA9,ion_channel,ion_channel
CLIC6,ion_channel,ion_channel
GABRR2,ion_channel,ion_channel
CACNA1B,ion_channel,ion_channel
KCNB1,ion_channel,ion_channel
CNGA2,ion_channel,ion_channel
P2RX7,ion_channel,ion_channel
AQP6,ion_channel,ion_channel
SCN9A,ion_channel,ion_channel
SCN2B,ion_channel,ion_channel
CACNB4,ion_channel,ion_channel
CACNA2D1,ion_channel,ion_channel
CATSPERD,ion_channel,ion_channel
CACNA1I,ion_channel,ion_channel
AQP3,ion_channel,ion_channel
CLIC5,ion_channel,ion_channel
CHRNA10,ion_channel,ion_channel
KCNJ8,ion_channel,ion_channel
CHRNA1,ion_channel,ion_channel
RYR3,ion_channel,ion_channel
MIP,ion_channel,ion_channel
TRPV3,ion_channel,ion_channel
HCN3,ion_channel,ion_channel
VDAC2,ion_channel,ion_channel
P2RX1,ion_channel,ion_channel
TRPV5,ion_channel,ion_channel
KCNV2,ion_channel,ion_channel
GABRD,ion_channel,ion_channel
CACNA2D2,ion_channel,ion_channel
KCNA5,ion_channel,ion_channel
CACNB1,ion_channel,ion_channel
ANO7,ion_channel,ion_channel
SCN5A,ion_channel,ion_channel
CACNA1F,ion_channel,ion_channel
CATSPER3,ion_channel,ion_channel
ANO8,ion_channel,ion_channel
CLCN6,ion_channel,ion_channel
CACNG8,ion_channel,ion_channel
TRPC3,ion_channel,ion_channel
KCNH8,ion_channel,ion_channel
ANO1,ion_channel,ion_channel
GABRG1,ion_channel,ion_channel
CNGA3,ion_channel,ion_channel
CHRND,ion_channel,ion_channel
GJB4,ion_channel,ion_channel
BEST2,ion_channel,ion_channel
GABRA6,ion_channel,ion_channel
ANO5,ion_channel,ion_channel
TRPV1,ion_channel,ion_channel
GJA3,ion_channel,ion_channel
RYR2,ion_channel,ion_channel
KCNJ16,ion_channel,ion_channel
CHRNB1,ion_channel,ion_channel
TRPM4,ion_channel,ion_channel
TRPV4,ion_channel,ion_channel
CLIC2,ion_channel,ion_channel
CACNG2,ion_channel,ion_channel
PKD2L1,ion_channel,ion_channel
CACNG3,ion_channel,ion_channel
KCNG2,ion_channel,ion_channel
CACNG4,ion_channel,ion_channel
KCNH5,ion_channel,ion_channel
ANO9,ion_channel,ion_channel
KCNH7,ion_channel,ion_channel
GJB7,ion_channel,ion_channel
VDAC3,ion_channel,ion_channel
KCNK17,ion_channel,ion_channel
KCNH2,ion_channel,ion_channel
GJD2,ion_channel,ion_channel
TRPM5,ion_channel,ion_channel
LRRC8E,ion_channel,ion_channel
ITPR1,ion_channel,ion_channel
ITPR3,ion_channel,ion_channel
KCNJ12,ion_channel,ion_channel
KCNG3,ion_channel,ion_channel
CNGB1,ion_channel,ion_channel
GRIK5,ion_channel,ion_channel
HVCN1,ion_channel,ion_channel
KCNK2,ion_channel,ion_channel
GRIN2A,ion_channel,ion_channel
KCNA10,ion_channel,ion_channel
GJB2,ion_channel,ion_channel
GABRA5,ion_channel,ion_channel
AQP1,ion_channel,ion_channel
KCND3,ion_channel,ion_channel
CACNA1S,ion_channel,ion_channel
KCNK9,ion_channel,ion_channel
ANO10,ion_channel,ion_channel
KCNG4,ion_channel,ion_channel
CHRNB3,ion_channel,ion_channel
GRIN2C,ion_channel,ion_channel
ANO3,ion_channel,ion_channel
GABRA4,ion_channel,ion_channel
KCNN1,ion_channel,ion_channel
CLCN2,ion_channel,ion_channel
GABRB2,ion_channel,ion_channel
GJA1,ion_channel,ion_channel
CNGA4,ion_channel,ion_channel
KCNK16,ion_channel,ion_channel
CACNA2D3,ion_channel,ion_channel
SCN3B,ion_channel,ion_channel
GJB6,ion_channel,ion_channel
KCNK13,ion_channel,ion_channel
P2RX2,ion_channel,ion_channel
CNGB3,ion_channel,ion_channel
TPCN2,ion_channel,ion_channel
GJD3,ion_channel,ion_channel
CACNA1H,ion_channel,ion_channel
CACNG6,ion_channel,ion_channel
VDAC1,ion_channel,ion_channel
CHRNA5,ion_channel,ion_channel
KCNQ1,ion_channel,ion_channel
KCNS3,ion_channel,ion_channel
GRIN3A,ion_channel,ion_channel
CLCNKA,ion_channel,ion_channel
HCN1,ion_channel,ion_channel
AQP8,ion_channel,ion_channel
ASIC3,ion_channel,ion_channel
KCNA6,ion_channel,ion_channel
CLCN1,ion_channel,ion_channel
GRIK1,ion_channel,ion_channel
TRPV2,ion_channel,ion_channel
CACNA1G,ion_channel,ion_channel
BEST4,ion_channel,ion_channel
KCNH3,ion_channel,ion_channel
CLCN3,ion_channel,ion_channel
BEST3,ion_channel,ion_channel
HTR3E,ion_channel,ion_channel
TRPM3,ion_channel,ion_channel
AQP10,ion_channel,ion_channel
GRIA1,ion_channel,ion_channel
KCNB2,ion_channel,ion_channel
KCNK10,ion_channel,ion_channel
P2RX5,ion_channel,ion_channel
SCNN1D,ion_channel,ion_channel
KCNK4,ion_channel,ion_channel
CACNA1D,ion_channel,ion_channel
KCNJ9,ion_channel,ion_channel
AQP11,ion_channel,ion_channel
ANO6,ion_channel,ion_channel
KCNJ13,ion_channel,ion_channel
CHRNA6,ion_channel,ion_channel
KCNG1,ion_channel,ion_channel
NT5C2,enzyme,enzyme
MAP4K2,enzyme,enzyme
MAP2K4,enzyme,enzyme
PIK3R1,enzyme,enzyme
KATNA1,enzyme,enzyme
MAP3K7,enzyme,enzyme
PRKAG1,enzyme,enzyme
ALOX12,enzyme,enzyme
PIK3CA,enzyme,enzyme
PSEN1,enzyme,enzyme
SENP8,enzyme,enzyme
HDAC6,enzyme,enzyme
FOLH1,enzyme,enzyme
KLK7,enzyme,enzyme
SGPP2,enzyme,enzyme
ACAT1,enzyme,enzyme
PIK3C2G,enzyme,enzyme
ADAMTS13,enzyme,enzyme
ATAD2,enzyme,enzyme
PTGES2,enzyme,enzyme
MMP16,enzyme,enzyme
CYP26A1,enzyme,enzyme
MAP3K1,enzyme,enzyme
PRMT3,enzyme;transcription_factor,enzyme
RCE1,enzyme,enzyme
CSNK1A1,enzyme,enzyme
PLA2G4D,enzyme,enzyme
PIK3R5,enzyme,enzyme
CTSC,enzyme,enzyme
PCSK1,enzyme,enzyme
DIO3,enzyme,enzyme
ATG4B,enzyme,enzyme
PRKAB2,enzyme,enzyme
ANPEP,enzyme,enzyme
PRKCG,enzyme,enzyme
ADAM9,enzyme,enzyme
MAP3K10,enzyme,enzyme
SENP1,enzyme,enzyme
ACE2,enzyme,enzyme
CYP2A13,enzyme,enzyme
INPP4A,enzyme,enzyme
MPST,enzyme,enzyme
TINAGL1,enzyme,enzyme
ALDH5A1,enzyme,enzyme
UGCG,enzyme,enzyme
PLA2G6,enzyme,enzyme
TPSG1,enzyme,enzyme
CPM,enzyme,enzyme
CAPN2,enzyme,enzyme
PLCB2,enzyme,enzyme
PDE8B,enzyme,enzyme
PIK3CB,enzyme,enzyme
KLK6,enzyme,enzyme
HDAC8,enzyme,enzyme
IDI2,enzyme,enzyme
DHFR,enzyme,enzyme
KAT7,enzyme;transcription_factor,enzyme
FDPS,enzyme,enzyme
TYR,enzyme,enzyme
CYP2C18,enzyme,enzyme
VSIG2,enzyme,enzyme
PARP3,enzyme,enzyme
IDH2,enzyme,enzyme
SYNJ2,enzyme,enzyme
VKORC1,enzyme,enzyme
SAMD8,enzyme,enzyme
PSMB1,enzyme,enzyme
NOX1,enzyme,enzyme
TAT,enzyme,enzyme
KDM1A,enzyme,enzyme
PRKAR1B,enzyme,enzyme
CASP6,enzyme,enzyme
PCSK4,enzyme,enzyme
DHODH,enzyme,enzyme
PDE6B,enzyme,enzyme
ADAMTS8,enzyme,enzyme
CASP3,enzyme,enzyme
TPH1,enzyme,enzyme
IMPA2,enzyme,enzyme
DOT1L,enzyme;transcription_factor,enzyme
ADAM21,enzyme,enzyme
CASP9,enzyme,enzyme
F10,enzyme,enzyme
BRD3,enzyme,enzyme
MMP17,enzyme,enzyme
KDM7A,enzyme,enzyme
STK38L,enzyme,enzyme
MAP3K13,enzyme,enzyme
ADAM17,enzyme,enzyme
MAP3K9,enzyme,enzyme
MMP21,enzyme,enzyme
TASP1,enzyme,enzyme
CBS,enzyme,enzyme
PRKACA,enzyme,enzyme
CYP3A5,enzyme,enzyme
CYP11A1,enzyme,enzyme
HAT1,enzyme,enzyme
MAP2K2,enzyme,enzyme
KMT5B,enzyme,enzyme
MAPKAPK2,enzyme,enzyme
PSMB2,enzyme,enzyme
MMP23B,enzyme,enzyme
NPEPPS,enzyme,enzyme
PLA2G1B,enzyme,enzyme
YES1,enzyme,enzyme
MMP15,enzyme,enzyme
PFKFB3,enzyme,enzyme
DEGS2,enzyme,enzyme
TBXAS1,enzyme,enzyme
PRSS1,enzyme,enzyme
TOP2A,enzyme,enzyme
BMP1,cytokine;enzyme,enzyme
CA1,enzyme,enzyme
FURIN,enzyme,enzyme
SMPD1,enzyme,enzyme
LVRN,enzyme,enzyme
SETD2,enzyme,enzyme
C1R,enzyme,enzyme
PREP,enzyme,enzyme
TYMS,enzyme,enzyme
PMPCA,enzyme,enzyme
PRMT7,enzyme,enzyme
CTSE,enzyme,enzyme
PRMT1,enzyme,enzyme
PI4K2A,enzyme,enzyme
ADCY6,enzyme,enzyme
LSS,enzyme,enzyme
CSNK2B,enzyme,enzyme
EIF2AK3,enzyme,enzyme
CA12,enzyme,enzyme
CYP19A1,enzyme,enzyme
PNMT,enzyme,enzyme
ADAMTS18,enzyme,enzyme
HDAC3,enzyme,enzyme
MBTPS1,enzyme,enzyme
ADAMTS3,enzyme,enzyme
TRIM28,enzyme,enzyme
ADCY8,enzyme,enzyme
KLK8,enzyme,enzyme
METAP1D,enzyme,enzyme
PADI4,enzyme,enzyme
PLA2G12A,enzyme,enzyme
RNPEPL1,enzyme,enzyme
SENP6,enzyme,enzyme
TPH2,enzyme,enzyme
CYP11B2,enzyme,enzyme
KDM6A,enzyme,enzyme
NCOA1,enzyme;transcription_factor,enzyme
SMPD2,enzyme,enzyme
BRD8,enzyme,enzyme
PKLR,enzyme,enzyme
PKMYT1,enzyme,enzyme
BRD4,enzyme,enzyme
PRKCA,enzyme,enzyme
PDE1C,enzyme,enzyme
PDE4A,enzyme,enzyme
CA4,enzyme,enzyme
FAAH,enzyme,enzyme
PLCH2,enzyme,enzyme
PRMT5,enzyme,enzyme
DYRK1A,enzyme,enzyme
RPS6KA2,enzyme,enzyme
PDE7A,enzyme,enzyme
PPIA,enzyme,enzyme
CYP3A4,enzyme,enzyme
SYK,enzyme,enzyme
GSR,enzyme,enzyme
PIK3CD,enzyme,enzyme
ADAMTS20,enzyme,enzyme
ADAMTS2,enzyme,enzyme
PREPL,enzyme,enzyme
CPA2,enzyme,enzyme
DPP8,enzyme,enzyme
LPIN3,enzyme,enzyme
SGPL1,enzyme,enzyme
ADCY7,enzyme,enzyme
CERS1,enzyme,enzyme
KDM5C,enzyme,enzyme
KMT2B,enzyme;transcription_factor,enzyme
MMP13,enzyme,enzyme
INPP5A,enzyme,enzyme
BRD1,enzyme,enzyme
KAT2B,enzyme,enzyme
CHIA,enzyme,enzyme
HASPIN,enzyme,enzyme
KRAS,enzyme,enzyme
F12,enzyme,enzyme
NAALAD2,enzyme,enzyme
PCCA,enzyme,enzyme
MAP2K1,enzyme,enzyme
PLA2G7,enzyme,enzyme
ADAM18,enzyme,enzyme
CAMK1D,enzyme,enzyme
KDM2B,enzyme;transcription_factor,enzyme
SMPDL3B,enzyme,enzyme
XDH,enzyme,enzyme
USP1,enzyme,enzyme
DDC,enzyme,enzyme
HRAS,enzyme,enzyme
KMT5C,enzyme,enzyme
DBH,enzyme,enzyme
SOAT2,enzyme,enzyme
PDE7B,enzyme,enzyme
GUCY1A1,catalytic_receptor;enzyme,enzyme
LOXL2,enzyme,enzyme
PLA2G4B,enzyme,enzyme
ADAM29,enzyme,enzyme
ACACB,enzyme,enzyme
ADAM11,enzyme,enzyme
ALDH2,enzyme,enzyme
PSMD14,enzyme,enzyme
SENP7,enzyme,enzyme
SCPEP1,enzyme,enzyme
NAPEPLD,enzyme,enzyme
ACHE,enzyme,enzyme
PRKAA2,enzyme,enzyme
GUCY1A2,catalytic_receptor;enzyme,enzyme
HSD3B2,enzyme,enzyme
PCSK5,enzyme,enzyme
CYP20A1,enzyme,enzyme
KAT6A,enzyme,enzyme
PLA2G2E,enzyme,enzyme
CTSG,enzyme,enzyme
CYP26C1,enzyme,enzyme
TRRAP,enzyme,enzyme
TMPRSS11D,enzyme,enzyme
PSEN2,enzyme,enzyme
PLA2G4A,enzyme,enzyme
CTRL,enzyme,enzyme
CYP2R1,enzyme,enzyme
HPSE,enzyme,enzyme
REN,enzyme,enzyme
CASP8,enzyme,enzyme
PLAU,enzyme,enzyme
MGAM,enzyme,enzyme
CTSS,enzyme,enzyme
CYP4A22,enzyme,enzyme
CYP21A2,enzyme,enzyme
CYP51A1,enzyme,enzyme
IMPDH1,enzyme,enzyme
GGCX,enzyme,enzyme
ADCY5,enzyme,enzyme
COMT,enzyme,enzyme
PRKAG3,enzyme,enzyme
ADCY4,enzyme,enzyme
CYP27C1,enzyme,enzyme
RAB27A,enzyme,enzyme
PIP4K2C,enzyme,enzyme
CYP4A11,enzyme,enzyme
PPME1,enzyme,enzyme
CAPN1,enzyme,enzyme
KDSR,enzyme,enzyme
CTRC,enzyme,enzyme
UCHL3,enzyme,enzyme
CERS3,enzyme,enzyme
KMT2C,enzyme,enzyme
CYP2J2,enzyme,enzyme
KAT2A,enzyme,enzyme
PDE11A,enzyme,enzyme
ADAM19,enzyme,enzyme
PLCG2,enzyme,enzyme
CYP2E1,enzyme,enzyme
NT5C1B,enzyme,enzyme
MAP3K11,enzyme,enzyme
PSKH2,enzyme,enzyme
GART,enzyme,enzyme
KDM3A,enzyme,enzyme
CYP2A7,enzyme,enzyme
PMVK,enzyme,enzyme
BCAT2,enzyme,enzyme
CYP2F1,enzyme,enzyme
CELA1,enzyme,enzyme
KAT5,enzyme,enzyme
MAPKAPK5,enzyme,enzyme
CA7,enzyme,enzyme
ELANE,enzyme,enzyme
MLYCD,enzyme,enzyme
METAP1,enzyme,enzyme
